VPS 3.5 - List (VPX tables Only) -- Last updated: 0	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
1-2-3... (Automaticos 1973)		EM	VPX	JPSalas, Akiles50000, Loserman76, Kiwi	JPSalas, Akiles50000, Loserman76, Kiwi	1.0.1		FALSE	
2 in 1 (Bally 1964)		EM	VPX	Loserman76, Kees	Loserman76, Kees	1.0		FALSE	
2001 (Gottlieb 1971)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0a		FALSE	
24 (Stern 2009)		SS	VPX	32assassin, Freneticamnesic, Amgrim, Fuzzel	32assassin, Freneticamnesic, Amgrim, Fuzzel	2.0.1	twenty4_150	FALSE	
24 (Stern 2009)	FSS (Full Single Screen) MOD	SS	VPX	Mortis, Freneticamnesic, 32assassin, Arconovum	Mortis, Freneticamnesic, 32assassin, Arconovum	2.0.1 - Rev. 1 [FSS]	twenty4_150	FALSE	
250 cc (Inder 1992)		SS	VPX	JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim	JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim	1.0.1	ind250cc	FALSE	
300 (Gottlieb 1975)		EM	VPX	Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0		FALSE	
4 Queens (Bally 1970)		EM	VPX	Loserman76, kees, Wildman	Loserman76, kees, Wildman	1.01b		FALSE	
4 Queens (Bally 1970)	Singinfool64 MOD	EM	VPX	Singinfool64, Kees, Loserman76	Singinfool64, Kees, Loserman76	1.1		FALSE	
4 Square (Gottlieb 1971)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck	1.0		FALSE	
