Table Name (Manufacturer Year)	Manufacturer	Year	Theme	Player(s)	IPDB Number	Description(s)	Type	VP Version	Table URL	Table Author(s)	Table Version	Table Date
1-2-3... (Automaticos 1973)	Automaticos	1973	TV Game Show	1	5247		EM	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Akiles50000, Loserman76, Kiwi	1.0.1	2019-04-11
2 in 1 (Bally 1964)	Bally	1964	-	2	2698		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, Kees	1.0	2016-08-15
2001 (Gottlieb 1971)	Gottlieb	1971	Fantasy	1	2697		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0a	2017-12-25
2001 (Gottlieb 1971)	Gottlieb	1971	Fantasy	1	2697		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Loserman76, GNance, Loserman76, Arngrim, JPSalas, EalaDubhSidhe, Black, Itchigo, Conram, Akiles50000, Inkochnito, Pinuck, Herweh, JimmyFingers, HauntFreaks	2.0	2016-01-19
24 (Stern 2009)	Stern	2009	Licensed Theme - Television Show - Law	4	5419		SS	VPX	https://vpinball.com/VPBdownloads/	32assassin, Freneticamnesic, Amgrim, Fuzzel	2.0.1	2019-04-07
24 (Stern 2009)	Stern	2009	Licensed Theme - Television Show - Law	4	5419	FSS (Full Single Screen) MOD	SS	VPX	https://vpinball.com/VPBdownloads/	Mortis, Freneticamnesic, 32assassin, Arconovum	2.0.1 - Rev. 1 [FSS]	2020-06-29
24 (Stern 2009)	Stern	2009	Licensed Theme - Television Show - Law	4	5419		SS	PM5	https://vpinball.com/VPBdownloads/	Freneticamnesic	1.2	2016-03-25
250 cc (Inder 1992)	Inder	1992	-	4	4089		SS	VPX	https://www.vpforums.org/index.php?app=downloads	JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim	1.0.1	2020-01-04
250 cc (Inder 1992)	Inder	1992	-	4	4089		SS	VP9	https://www.vpforums.org/index.php?app=downloads	JPSalas	1.1.0	2011-04-19
300 (Gottlieb 1975)	Gottlieb	1975	Sports - Bowling	4	2539		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	2017-12-25
301-Bulls Eye (Grand Products 1986)	Grand Products	1986	Sports - Darts	4	403		SS	VP9	https://www.vpforums.org/index.php?app=downloads	BlackPredator72, Tab, Eala Dubh, Sidhe, Gastonm Destruk	1.0.1	2013-05-29
4 Queens (Bally 1970)	Bally	1970	-	1	936		EM	VPX	https://www.vpforums.org/index.php?app=downloads	Loserman76, kees, Wildman	1.01b	2016-08-17
4 Queens (Bally 1970)	Bally	1970	-	1	936	Singinfool64 MOD	EM	VPX	https://www.vpforums.org/index.php?app=downloads	Singinfool64, Kees, Loserman76	1.1	2020-07-09
4 Square (Gottlieb 1971)	Gottlieb	1971		1	940		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck	1.0	2018-09-08
4X4 (Atari 1983)	Atari	1983	-	4	3111		SS	VPX	https://www.vpforums.org/index.php?app=downloads	TheGhost1787	1.0	2017-01-13
8 Ball (Williams 1966)	Williams	1966	Billiards	2	764		EM	VPX	https://vpinball.com/VPBdownloads/	Loserman76, GNance, Wrd1972	1.0	2019-11-03
A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2017)	Original	2017				MOD of Sexy Girl (Arkon 1980) 	SS	VPX	https://vpinball.com/VPBdownloads/	Xenonph, Lizard, Slydog43, Thalamus, Allknowing2012, Gtxjoe, JPSalas	1.71	2018-11-05
A-Go-Go (Williams 1966)	Williams	1966	Happiness - Dancing	4	27		EM	VPX	https://vpinball.com/VPBdownloads/	PinPlayer	1.2	2020-02-13
Aaron Spelling (Data East 1992)	Data East	1992	-	4	4339	Gold Day and Night MOD	SS	VP9	https://www.vpforums.org/index.php?app=downloads	Xenonph, Destruk, Tab	1.0	2016-12-01
Abba (Original 2020)	Original	2020				Graphics MOD of Beatles, The (Original 2013)	SS	VPX	https://vpinball.com/VPBdownloads/	Djchiccomix	1.0	2020-04-24
Abba (Original 2020)	Original	2020					SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Grayghost27053, JPSalas, Stat, Slydog43	2.0	2020-05-18
Abra Ca Dabra (Gottlieb 1975)	Gottlieb	1975	Wizard - Magic	1	2		EM	VPX	https://vpinball.com/VPBdownloads/	Batch, BorgDog, HauntFreaks, Pinuck	1.1	2018-01-14
Abra Ca Dabra (Gottlieb 1975)	Gottlieb	1975	Wizard - Magic	1	2		EM	VP9	https://www.vpforums.org/index.php?app=downloads	Pinuck	2.0.0	2011-09-27
AC-DC (Original 2012)	Original	2012	Music				SS	VPX	https://vpinball.com/VPBdownloads/	Goldchicco, JPSalas, Grizz, Destruk, Doogie, Arngrim	1.0	2020-08-28
AC-DC (Helen) (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5767	Helen	SS	PM5	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Javier15, Batch	1.1c	2017-05-03
AC-DC (Let There Be Rock Limited Edition) (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5776	Helen MOD option	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Javier15, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius	1.5	2019-03-10
AC-DC (LUCI Premium) (Stern 2013)	Stern	2013	Licensed Theme - Music	4	5775	Nude MOD option, Vault Edtion option	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Javier15, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius	1.5	2019-03-10
AC-DC (Premium) (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5775	Helen MOD option, Vault Edition option	SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Javier15, DJRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius	1.5	2019-03-10
AC-DC (Premium) - [VR] (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5775	VR Version, VPVR, VR Room - Gear323 Version	SS	VR	https://vpinball.com/VPBdownloads/	Gear323, Ninuzzu, 3rdaxis, Caligula, Drhotwing1	1.0	2020-01-14
AC-DC (Premium) - [VR] (Stern 2012)	Stern	2012	Licensed Theme - Music	4	5775	VR Version, VPVR, VR Room - Drhotwing1 Version	SS	VR	https://vpinball.com/VPBdownloads/	Drhotwing1, 3rdaxis, Ninuzzu	1.1	2020-01-07
AC-DC (Pro Vault Edition) (Stern 2017)	Stern	2017	Licensed Theme - Music	4	6439		SS	VPX	http://vpuniverse.com/forums/files/category/82-visual-pinball-10-tables/	Ninuzzu, Dark, Knorr, Rusty Cardores, Rys, Peter J, Javier	1.0	2019-03-10
