VPS 3.5 - List (VPX tables Only) -- Last updated: 09-02-2020	You can download this sheet for Personal Usage and use the Checkboxes to see which table(s) you do (or don't) have and leave Comments or Notes for yourself.								
Table Name (Manufacturer Year)	Feature(s) Description(s), comment(s) or extra information	Type 	VP Version	Table Author(s)	Table Version	Table Date	Needed ROM Name	Checkbox 	Comments or Notes 
1-2-3... (Automaticos 1973)		EM	VPX	JPSalas, Akiles50000, Loserman76, Kiwi	1.0.1	11-04-2019		FALSE	
2 in 1 (Bally 1964)		EM	VPX	Loserman76, Kees	1.0	15-08-2016		FALSE	
2001 (Gottlieb 1971)		EM	VPX	Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog	1.0a	25-12-2017		FALSE	
24 (Stern 2009)		SS	VPX	32assassin, Freneticamnesic, Amgrim, Fuzzel	2.0.1	07-04-2019	twenty4_150	FALSE	
250 cc (Inder 1992)		SS	VPX	JPSalas, Destruk, Batansa, Adrián, Inkochnito, Arngrim	1.0.1	04-01-2020	ind250cc	FALSE	
300 (Gottlieb 1975)		EM	VPX	Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim	1.0	25-12-2017		FALSE	
4 Queens (Bally 1970)		EM	VPX	Loserman76, kees, Wildman	1.01b	17-08-2016		FALSE	
4 Square (Gottlieb 1971)		EM	VPX	Loserman76, HauntFreaks, BorgDog, GNance, JPSalas, Pinuck	1.0	08-09-2018		FALSE	
4X4 (Atari 1983)		SS	VPX	TheGhost1787	1.0	13-01-2017	fourx4	FALSE	
8 Ball (Williams 1966)		EM	VPX	Loserman76, GNance, Wrd1972	1.0	03-11-2019		FALSE	
A Real American Hero - Operation P.I.N.B.A.L.L. (Original 2017)	MOD of Sexy Girl (Arkon 1980) 	SS	VPX	Xenonph, Lizard, Slydog43, Thalamus, Allknowing2012, Gtxjoe, JPSalas	1.71	05-11-2018	playboyb	FALSE	
A-Go-Go (Williams 1966)		EM	VPX	PinPlayer	1.1	21-07-2019		FALSE	
Abra Ca Dabra (Gottlieb 1975)		EM	VPX	Batch, BorgDog, HauntFreaks, Pinuck	1.1	14-01-2018		FALSE	
AC-DC (Let There Be Rock Limited Edition) (Stern 2012)	Helen MOD option	SS	VPX	Ninuzzu, Javier15, DjRobX, Dark, Zany, Tom Tower, Knorr, Rysr, PeterJ, Rom, Zedonius	1.5	10-03-2019	acd_170h	FALSE	
